#{"t_start": 1745691977.823762, "env_id": "None"}
r,l,t
1.0,3,4.548107
1.0,3,4.550107
1.0,4,4.553295
1.0,3,4.555298
1.0,3,4.557295
1.0,3,4.559296
1.0,3,4.56215
1.0,3,4.563529
1.0,3,4.563529
1.0,3,4.563529
1.0,3,4.563529
-2.0,5,4.575155
1.0,4,4.575155
1.0,4,4.575155
-1.5,4,4.575155
-1.5,5,4.585314
-1.5,5,4.590804
-1.5,3,4.592151
-1.5,3,4.592151
1.0,3,4.592151
1.0,4,4.600639
1.0,3,4.602577
-1.5,4,4.605975
1.0,4,4.609507
-1.5,4,4.613611
1.0,3,4.61587
-1.5,4,4.618271
1.0,4,4.621447
1.0,4,4.624475
-1.5,3,4.626493
-1.5,4,4.628881
-2.0,5,4.63294
1.0,3,4.634492
-1.5,4,4.638096
-1.5,3,4.640104
1.0,4,4.643277
1.0,4,4.645323
1.0,4,4.648372
-1.5,4,4.652208
-1.5,4,4.654697
1.0,4,4.658077
1.0,3,4.660658
1.0,4,4.66369
-1.5,4,4.665464
-1.5,4,4.668928
1.0,3,4.670688
-2.0,5,4.674439
1.0,3,4.67722
1.0,3,4.679702
-2.0,5,4.682318
1.0,3,4.68544
1.0,4,4.687749
1.0,3,4.690167
1.0,5,4.693437
1.0,3,4.695545
1.0,3,4.697956
1.0,3,4.700218
-2.0,5,4.703564
-1.5,4,4.706225
1.0,4,4.709224
-2.0,5,4.713058
-2.0,5,4.716638
1.0,3,4.718981
-1.5,4,4.721934
1.0,3,4.723941
1.0,4,4.727517
1.0,3,4.730133
-1.5,5,4.734005
1.0,3,4.73702
1.0,3,4.739151
1.0,3,4.742004
1.0,3,4.744004
-1.5,3,4.746885
1.0,4,4.750937
0.5,5,4.754956
-2.0,5,4.758964
-1.5,5,4.762818
1.0,4,4.765818
1.0,3,4.767786
1.0,3,4.770119
-1.5,5,4.772132
-1.5,4,4.774479
1.0,4,4.777076
1.0,4,4.779168
1.0,3,4.781509
1.0,3,4.78367
1.0,3,4.785223
-2.0,5,4.788657
1.0,4,4.790744
1.0,3,4.793226
-1.5,4,4.795671
1.0,3,4.796777
1.0,4,4.799777
1.0,4,4.802191
1.0,3,4.804856
1.0,3,4.806868
1.0,3,4.809202
1.0,4,4.812274
1.0,3,4.814273
1.0,3,4.817202
1.0,3,4.8185
1.0,4,4.821512
1.0,3,4.822998
0.5,5,4.827353
-1.5,4,4.830269
1.0,3,4.832448
-1.5,3,4.83409
1.0,3,4.836097
1.0,4,4.838529
1.0,3,4.841028
-2.0,5,4.84438
1.0,4,4.84654
-1.5,4,4.849537
1.0,4,4.852256
-1.5,5,4.856271
-1.5,5,4.859286
1.0,3,4.86218
-2.0,5,4.865816
1.0,3,4.866928
-2.0,5,4.871614
1.0,3,4.873696
1.0,3,4.875695
-2.0,5,4.878582
1.0,3,4.878582
1.0,3,4.878582
1.0,4,4.878582
1.0,3,4.886317
-2.0,5,4.889652
1.0,3,4.893662
1.0,4,4.894835
1.0,3,4.894835
