#{"t_start": 1745253351.5472279, "env_id": "None"}
r,l,t
1.0,5,1.284301
0.5,5,1.287042
1.0,5,1.287042
0.5,5,1.297239
1.0,4,1.301213
1.0,4,1.30431
1.0,4,1.307224
-1.0,4,1.310917
-1.0,4,1.31472
-1.0,4,1.31878
-1.0,4,1.322588
-1.0,3,1.325588
0.5,5,1.327555
-1.0,4,1.331563
0.5,5,1.33722
1.0,4,1.341483
-1.0,4,1.34449
1.0,4,1.347361
-1.0,4,1.352372
1.0,4,1.355379
0.5,5,1.360106
1.0,5,1.364572
1.0,4,1.367128
1.0,5,1.373139
-1.0,4,1.376838
-1.0,4,1.382377
-1.0,4,1.387742
-1.0,4,1.392879
-1.0,4,1.397917
0.5,5,1.402022
1.0,3,1.405271
1.0,4,1.40628
-1.0,4,1.41225
1.0,4,1.417057
-1.0,4,1.4216
1.0,5,1.428274
1.0,4,1.431623
1.0,4,1.434664
-1.0,4,1.43701
-1.0,4,1.43701
1.0,4,1.43701
1.0,4,1.43701
-1.0,3,1.452744
1.0,5,1.45852
1.0,3,1.460524
-1.0,4,1.464532
1.0,5,1.468256
-1.0,4,1.472267
1.0,5,1.476288
1.0,5,1.476288
1.0,3,1.484195
1.0,5,1.487005
1.0,3,1.487005
-1.0,3,1.487005
0.5,5,1.496618
1.0,4,1.502658
1.0,5,1.50701
-1.0,4,1.50814
0.5,5,1.515647
1.0,4,1.51812
1.0,5,1.51812
0.5,5,1.527471
-1.0,4,1.527471
0.5,5,1.531864
0.5,5,1.538702
1.0,3,1.540732
1.0,4,1.542845
1.0,4,1.547122
-1.0,3,1.550805
1.0,3,1.550805
1.0,4,1.557338
1.0,3,1.557338
-1.0,4,1.56304
0.5,5,1.56765
1.0,4,1.569621
-1.0,4,1.569621
1.0,5,1.578963
-1.0,3,1.580569
1.0,4,1.585577
1.0,3,1.587804
1.0,5,1.587804
1.0,5,1.59748
0.5,5,1.599597
1.0,3,1.60434
1.0,4,1.608617
1.0,5,1.612307
0.5,5,1.617335
-1.0,4,1.617335
1.0,5,1.617335
-1.0,3,1.627563
1.0,4,1.627563
1.0,5,1.63207
1.0,5,1.637819
1.0,5,1.64543
1.0,4,1.647542
-1.0,4,1.647542
-1.0,4,1.65707
1.0,4,1.65707
1.0,4,1.65707
-1.0,3,1.666492
1.0,4,1.667607
1.0,4,1.674464
-1.0,3,1.677248
0.5,5,1.680775
1.0,3,1.682148
1.0,4,1.687617
-1.0,3,1.690044
-1.0,4,1.694667
-1.0,4,1.698519
1.0,4,1.702548
1.0,5,1.706159
-1.0,4,1.70729
-1.0,3,1.70729
1.0,4,1.71644
1.0,4,1.719773
1.0,3,1.720787
1.0,4,1.725848
1.0,4,1.728972
1.0,4,1.732193
-1.0,3,1.735568
-1.0,4,1.737754
1.0,4,1.737754
1.0,5,1.746619
1.0,5,1.750917
-1.0,4,1.755424
0.5,5,1.758894
1.0,5,1.758894
1.0,5,1.768068
1.0,4,1.770068
1.0,4,1.770068
1.0,4,1.777522
1.0,3,1.780192
1.0,4,1.780192
1.0,4,1.786535
1.0,3,1.788839
1.0,4,1.791344
-1.0,4,1.796204
1.0,5,1.798861
-1.0,4,1.804054
1.0,4,1.807968
-1.0,4,1.812976
1.0,4,1.816494
0.5,5,1.821381
-1.0,3,1.822435
1.0,4,1.827196
-1.0,4,1.832165
-1.0,4,1.835811
0.5,5,1.838986
-1.0,4,1.841679
0.5,5,1.846882
1.0,4,1.846882
-1.0,4,1.855708
1.0,4,1.857359
1.0,4,1.857359
1.0,5,1.866378
1.0,5,1.8691
0.5,5,1.8691
1.0,4,1.877524
-1.0,4,1.877524
-1.0,3,1.884979
1.0,5,1.888692
0.5,5,1.89296
0.5,5,1.896474
1.0,5,1.92776
1.0,4,1.93334
-1.0,3,1.94486
1.0,4,1.948395
-1.0,4,1.952699
1.0,4,1.956255
1.0,5,1.961586
-1.0,3,1.964003
-1.0,4,1.96634
1.0,4,1.96634
1.0,4,1.975715
-1.0,3,1.977072
1.0,5,1.982636
0.5,5,1.987231
1.0,4,1.987231
-1.0,3,1.993812
1.0,5,1.997634
0.5,5,1.997634
1.0,3,1.997634
1.0,5,2.006171
-1.0,4,2.012436
-1.0,3,2.01564
1.0,4,2.017839
1.0,5,2.017839
0.5,5,2.026505
-1.0,4,2.027601
1.0,3,2.032194
-1.0,4,2.03696
1.0,4,2.037479
-1.0,4,2.043527
1.0,5,2.050443
1.0,5,2.056478
1.0,5,2.060568
-1.0,3,2.06216
-1.0,4,2.06766
-1.0,4,2.06766
1.0,4,2.06766
1.0,4,2.077767
1.0,4,2.077767
-1.0,4,2.077767
-1.0,4,2.087399
-1.0,3,2.087399
1.0,4,2.095701
1.0,5,2.099452
1.0,5,2.104311
1.0,5,2.107079
1.0,5,2.107079
1.0,3,3.167378
1.0,5,3.171168
0.5,5,3.177549
1.0,3,3.177549
1.0,4,3.186235
-1.0,3,3.187074
1.0,4,3.193589
1.0,4,3.197125
-1.0,4,3.197125
1.0,4,3.207308
1.0,5,3.211966
1.0,4,3.21638
1.0,4,3.220401
0.5,5,3.225501
1.0,4,3.229306
1.0,3,3.229306
1.0,5,3.238187
1.0,5,3.244874
-1.0,4,3.250149
1.0,4,3.254164
-1.0,4,3.258182
1.0,5,3.264182
1.0,4,3.268199
0.5,5,3.2732
0.5,5,3.276999
-1.0,4,3.283012
1.0,4,3.286523
-1.0,4,3.291538
-1.0,3,3.295546
1.0,3,3.297278
0.5,5,3.30408
1.0,4,3.307622
1.0,4,3.309626
-1.0,4,3.316582
0.5,5,3.321291
1.0,4,3.326317
-1.0,3,3.329346
1.0,4,3.333351
1.0,5,3.339074
1.0,5,3.344589
0.5,5,3.348611
1.0,5,3.354619
-1.0,3,3.358022
1.0,5,3.363358
1.0,4,3.366373
1.0,3,3.366373
0.5,5,3.366373
1.0,4,3.379448
1.0,5,3.385546
1.0,5,3.390836
-1.0,4,3.395541
-1.0,3,3.397672
-1.0,3,3.40117
-1.0,4,3.404177
1.0,3,3.406907
-1.0,4,3.41104
-1.0,3,3.414055
-1.0,4,3.417872
1.0,5,3.420876
0.5,5,3.426567
1.0,4,3.427231
1.0,3,3.432251
1.0,4,3.435457
-1.0,4,3.439008
1.0,3,3.441599
1.0,4,3.441599
1.0,4,3.447598
0.5,5,3.465394
1.0,5,3.470209
1.0,5,3.474209
1.0,4,3.478225
1.0,4,3.483225
1.0,4,3.487005
1.0,5,3.488249
-1.0,4,3.495373
1.0,5,3.49918
1.0,4,3.502102
-1.0,4,3.507786
1.0,4,3.508313
0.5,5,3.515327
1.0,4,3.517466
-1.0,3,3.519249
-1.0,4,3.525626
0.5,5,3.529744
1.0,4,3.529744
1.0,3,3.536332
1.0,5,3.53977
-1.0,4,3.543782
1.0,5,3.54832
1.0,5,3.552481
1.0,5,3.557621
-1.0,4,3.558303
1.0,3,3.558303
1.0,5,3.56742
1.0,3,3.570448
-1.0,3,3.572454
1.0,4,3.577261
0.5,5,3.581284
-1.0,3,3.58329
1.0,4,3.586312
0.5,5,3.590334
1.0,5,3.595354
-1.0,4,3.599088
1.0,5,3.603672
1.0,4,3.609465
1.0,4,3.617183
-1.0,4,3.621475
1.0,5,3.626521
1.0,4,3.629544
-1.0,3,3.633123
-1.0,4,3.636819
1.0,4,3.639904
1.0,4,3.643059
1.0,5,3.646494
1.0,5,3.651102
1.0,4,3.655354
1.0,3,3.657071
1.0,5,3.658115
0.5,5,3.665483
-1.0,3,3.666492
1.0,5,3.672754
1.0,4,3.677068
-1.0,3,3.682034
-1.0,4,3.68656
0.5,5,3.690716
-1.0,3,3.690716
0.5,5,3.697684
1.0,5,3.701123
1.0,5,3.707105
1.0,3,3.707105
1.0,4,3.707105
-1.0,4,3.716431
1.0,3,3.717899
-1.0,4,3.72126
0.5,5,3.727073
1.0,5,3.727073
0.5,5,3.73524
1.0,3,3.737799
0.5,5,3.740841
-1.0,4,3.746376
-1.0,3,3.747643
1.0,4,3.75115
0.5,5,3.75662
1.0,4,3.757775
-1.0,4,3.757775
1.0,5,3.767885
-1.0,4,3.772076
-1.0,4,3.77558
-1.0,4,3.779026
1.0,4,3.779026
1.0,3,3.785496
1.0,4,3.788247
-1.0,4,3.788247
1.0,4,3.796513
1.0,5,3.799766
1.0,5,3.809038
1.0,4,3.814224
-1.0,3,3.817252
1.0,3,3.81925
1.0,5,3.82325
-1.0,4,3.827001
0.5,5,3.828022
1.0,5,3.836073
1.0,5,3.839157
1.0,3,3.839157
1.0,3,3.839157
1.0,3,3.846779
1.0,4,3.846779
1.0,4,3.854141
-1.0,4,3.856155
1.0,3,3.856155
1.0,3,3.856155
1.0,4,3.866211
1.0,4,3.866211
1.0,5,3.873568
-1.0,4,3.877322
1.0,4,3.879345
-1.0,4,3.881351
0.5,5,3.886565
1.0,4,3.891971
-1.0,4,3.89681
1.0,5,3.89681
1.0,3,3.901333
1.0,3,3.905358
1.0,5,3.909462
1.0,5,3.909462
-1.0,3,3.916311
1.0,5,3.918681
1.0,5,3.926311
1.0,5,3.930824
1.0,4,3.934259
-1.0,4,3.938308
0.5,5,3.938308
-1.0,4,3.945376
-1.0,4,3.946384
1.0,4,3.952608
-1.0,3,3.957072
1.0,5,3.957596
1.0,5,3.9655
1.0,3,3.968532
-1.0,4,3.976575
-1.0,4,3.981494
1.0,5,3.985998
-1.0,3,3.988505
1.0,4,3.992505
1.0,5,3.996567
-1.0,4,3.999842
1.0,3,4.00299
-1.0,4,4.006516
-1.0,4,4.008139
0.5,5,4.013194
1.0,4,4.018243
1.0,5,4.020252
1.0,5,4.027299
0.5,5,4.027822
0.5,5,4.035493
1.0,5,4.039189
1.0,3,4.043085
1.0,3,4.045411
-1.0,4,4.048647
0.5,5,4.056305
1.0,5,4.057478
1.0,4,4.057478
0.5,5,4.067841
-1.0,4,4.067841
1.0,5,4.075538
0.5,5,4.077698
1.0,4,4.082704
0.5,5,4.088459
0.5,5,4.092617
1.0,3,4.092617
1.0,5,4.098799
1.0,4,4.099915
1.0,5,4.106982
1.0,4,4.107696
-1.0,3,4.107696
-1.0,4,4.11621
-1.0,4,4.11621
1.0,4,4.11621
1.0,4,4.127253
-1.0,4,4.131493
1.0,4,4.136044
1.0,4,4.139383
1.0,4,4.142438
1.0,5,4.147195
1.0,5,4.147715
1.0,4,4.147715
0.5,5,4.159432
1.0,5,4.166415
1.0,5,4.172819
1.0,4,4.176331
1.0,4,4.180404
1.0,3,4.182891
1.0,5,4.186398
1.0,3,4.189435
-1.0,4,4.192435
-1.0,4,4.197264
1.0,5,4.197264
1.0,5,4.205481
-1.0,4,4.206492
1.0,4,4.21193
1.0,3,4.213083
1.0,4,4.217318
1.0,4,4.217318
-1.0,4,4.225309
-1.0,3,4.227829
-1.0,4,4.232494
0.5,5,4.236513
1.0,5,4.239296
1.0,5,4.245308
1.0,4,4.246316
1.0,5,4.246316
1.0,5,4.257472
1.0,5,4.259499
-1.0,4,4.265511
0.5,5,4.267618
1.0,3,4.267618
-1.0,4,4.276488
-1.0,4,4.277198
0.5,5,4.277198
1.0,5,4.286159
0.5,5,4.293002
1.0,5,4.297202
1.0,4,4.29822
1.0,4,4.29822
-1.0,4,4.308352
1.0,5,4.308352
0.5,5,4.317313
1.0,5,4.318331
1.0,3,4.323938
0.5,5,4.331282
1.0,3,4.336133
0.5,5,4.340666
1.0,4,4.344666
-1.0,4,4.349627
1.0,4,4.353626
1.0,4,4.35613
1.0,4,4.360234
1.0,3,4.360234
1.0,4,4.365711
1.0,5,4.36693
1.0,5,4.36693
1.0,3,4.376209
1.0,4,4.379342
0.5,5,4.379342
-1.0,3,4.387825
1.0,5,4.391482
1.0,3,4.391482
1.0,5,4.396209
0.5,5,4.403365
1.0,5,4.408363
1.0,4,4.408363
1.0,5,4.416334
1.0,4,4.416334
1.0,3,4.416334
-1.0,3,4.425405
1.0,5,4.427648
0.5,5,4.427648
1.0,5,4.438072
1.0,5,4.44035
0.5,5,4.446365
0.5,5,4.451172
-1.0,4,4.458512
1.0,3,4.461935
1.0,4,4.465441
1.0,5,4.470773
1.0,3,4.474224
1.0,4,4.479192
0.5,5,4.483393
-1.0,4,4.487225
-1.0,4,4.488446
1.0,4,4.492982
1.0,4,4.497664
1.0,4,4.501171
1.0,5,4.506249
1.0,5,4.508656
1.0,4,4.511067
1.0,5,4.519403
1.0,5,4.519403
-1.0,4,4.526469
-1.0,4,4.531413
1.0,4,4.53242
1.0,4,4.538931
1.0,4,4.54146
0.5,5,4.546462
1.0,4,4.548207
1.0,5,4.548207
-1.0,4,4.557777
-1.0,4,4.557777
1.0,4,4.564283
0.5,5,4.5663
1.0,3,4.5663
-1.0,4,4.575264
1.0,5,4.580307
1.0,4,4.584569
-1.0,3,4.587647
1.0,4,4.591647
1.0,5,4.596163
1.0,4,4.599379
1.0,3,4.601379
1.0,4,4.60438
1.0,4,4.608392
1.0,3,4.610392
1.0,4,4.610392
1.0,5,4.618852
1.0,4,4.620976
1.0,4,4.626263
-1.0,4,4.626816
-1.0,4,4.633429
0.5,5,4.638214
1.0,5,4.644146
1.0,4,4.646168
1.0,4,4.651074
1.0,3,4.651074
1.0,4,4.656397
1.0,5,4.662935
1.0,4,4.666452
1.0,3,4.668288
1.0,5,4.668288
-1.0,4,4.677463
-1.0,4,4.677463
1.0,4,4.677463
-1.0,3,4.687047
1.0,5,4.68928
-1.0,3,4.68928
1.0,5,4.697622
1.0,5,4.699072
1.0,5,4.707221
1.0,3,4.707221
0.5,5,4.707221
-1.0,3,4.716573
1.0,4,4.71771
1.0,5,4.725408
0.5,5,4.730546
0.5,5,4.734219
1.0,4,4.738933
1.0,5,4.744479
1.0,5,4.748728
-1.0,4,4.751525
0.5,5,4.756541
1.0,5,4.759784
0.5,5,4.766363
-1.0,4,4.767109
1.0,5,4.767109
1.0,4,4.776565
-1.0,4,4.780896
-1.0,4,4.78777
0.5,5,4.795324
0.5,5,4.799954
1.0,3,4.802105
1.0,4,4.805614
1.0,4,4.808854
1.0,5,4.812854
1.0,5,4.81746
1.0,4,4.818576
-1.0,3,4.823825
0.5,5,4.82634
1.0,3,4.82634
1.0,4,4.833495
1.0,4,4.837795
1.0,4,4.839816
1.0,4,4.839816
-1.0,4,4.847489
1.0,5,4.852355
1.0,4,4.855393
1.0,3,4.857676
1.0,4,4.857676
1.0,5,4.865552
1.0,5,4.869307
1.0,4,4.869307
1.0,4,4.877458
-1.0,4,4.877458
1.0,4,4.877458
1.0,3,4.886649
-1.0,4,4.890807
1.0,4,4.892812
1.0,5,4.897789
1.0,5,4.902405
-1.0,4,4.908622
0.5,5,4.913871
0.5,5,4.917112
-1.0,4,4.917112
0.5,5,4.927241
-1.0,4,4.9358
-1.0,3,4.941047
-1.0,4,4.944655
1.0,5,4.949263
0.5,5,4.953654
-1.0,3,4.957203
-1.0,4,4.960771
-1.0,4,4.964814
-1.0,4,4.966323
-1.0,3,4.97146
-1.0,4,4.973121
1.0,5,4.979447
1.0,3,4.989064
-1.0,3,4.992327
1.0,4,4.996
1.0,5,5.001
-1.0,4,5.004107
-1.0,4,5.008352
1.0,4,5.010776
1.0,5,5.01632
1.0,5,5.017478
-1.0,4,5.017478
1.0,5,5.027264
-1.0,4,5.032247
1.0,4,5.035549
1.0,4,5.038936
1.0,4,5.039955
1.0,5,5.047741
1.0,5,5.051868
-1.0,4,5.062643
-1.0,4,5.066835
1.0,4,5.070001
-1.0,3,5.073118
-1.0,4,5.077318
1.0,3,5.079326
1.0,3,5.082385
1.0,5,5.086402
0.5,5,5.092183
1.0,4,5.095491
1.0,3,5.097536
1.0,5,5.099095
1.0,5,5.106418
1.0,4,5.108829
1.0,4,5.11349
-1.0,4,5.116269
1.0,5,5.120304
1.0,4,6.101071
1.0,5,6.106591
1.0,5,6.11343
1.0,4,6.117181
-1.0,4,6.119202
-1.0,3,6.126226
1.0,4,6.130151
-1.0,3,6.134156
-1.0,4,6.138845
-1.0,4,6.143919
1.0,5,6.148738
-1.0,4,6.153373
-1.0,4,6.15765
-1.0,3,6.161898
1.0,4,6.165405
1.0,5,6.1715
1.0,4,6.175593
-1.0,4,6.180933
1.0,4,6.186491
1.0,4,6.189621
1.0,4,6.193791
1.0,4,6.197967
1.0,4,6.202682
1.0,4,6.207286
0.5,5,6.209425
1.0,4,6.216846
-1.0,4,6.220862
-1.0,3,6.223979
1.0,5,6.228967
1.0,5,6.23525
0.5,5,6.239826
-1.0,4,6.245312
1.0,4,6.247424
-1.0,4,6.253955
1.0,4,6.258522
